NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CALM3	Calm2	13	0.2538653612136841	0.14719588	Yes	
row_1	GNAS	Gnas	26	0.20340104401111603	0.2642621	Yes	
row_2	MYL6	Myl6	28	0.2031542956829071	0.38721567	Yes	
row_3	PRKCH	Prkch	99	0.10687286406755447	0.41376695	Yes	
row_4	ROCK1	Rock1	244	0.04972748085856438	0.36496347	No	
row_5	ARHGEF12	Arhgef12	479	0.01621590182185173	0.2463912	No	
row_6	PPP1R12B	Ppp1r12b	577	0.005533462390303612	0.19651695	No	
row_7	PPP1R12A	Ppp1r12a	580	0.005385964643210173	0.1986935	No	
row_8	BRAF	Braf	756	-0.008765134960412979	0.10797374	No	
row_9	CALM1	Calm1	949	-0.024458788335323334	0.017464124	No	
row_10	GNAQ	Gnaq	1270	-0.05220525339245796	-0.12643021	No	
row_11	ARHGEF11	Arhgef11	1492	-0.07815571129322052	-0.20021275	No	
row_12	PRKCA	Prkca	1504	-0.07997304946184158	-0.15763251	No	
row_13	ROCK2	Rock2	1530	-0.08357544988393784	-0.12054617	No	
row_14	CALCRL	Calcrl	1553	-0.08738198131322861	-0.079499185	No	
row_15	ITPR2	Itpr2	1679	-0.11091958731412888	-0.08067442	No	
row_16	RAMP1	Ramp1	1836	-0.2753504514694214	0.0010975925	No	
