NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACTG1	Actg1	10	0.2691012918949127	0.15721284	Yes	
row_1	ACTB	Actb	41	0.18240998685359955	0.25102732	Yes	
row_2	FYN	Fyn	66	0.15701131522655487	0.3327801	Yes	
row_3	PRF1	Prf1	97	0.10999298095703125	0.38280973	Yes	
row_4	RAC2	Rac2	145	0.08114214986562729	0.40605998	Yes	
row_5	ITGAL	Itgal	340	0.034140244126319885	0.32016703	No	
row_6	HLA-DOB	H2-Ob	680	-0.003123111091554165	0.13589388	No	
row_7	DAG1	Dag1	704	-0.00510537950322032	0.12635027	No	
row_8	CD28	Cd28	769	-0.009838082827627659	0.09715306	No	
row_9	MYH9	Myh9	871	-0.01904963329434395	0.05320684	No	
row_10	EIF4G3	Eif4g3	935	-0.023342175409197807	0.032723635	No	
row_11	ITGB2	Itgb2	1105	-0.03668106719851494	-0.037904367	No	
row_12	CD55	Cd55	1332	-0.05921660363674164	-0.1262084	No	
row_13	ICAM1	Icam1	1501	-0.07978678494691849	-0.17022462	No	
row_14	CD86	Cd86	1584	-0.09107993543148041	-0.16018596	No	
row_15	CASP3	Casp3	1639	-0.10065294802188873	-0.12898311	No	
row_16	HLA-A	H2-D1	1813	-0.18797819316387177	-0.11033026	No	
row_17	HLA-E	H2-T23	1824	-0.204276442527771	0.0076881056	No	
