NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FBF1	Fbf1	268	0.04371647536754608	-0.12713723	No	
row_1	AHI1	Ahi1	395	0.026521572843194008	-0.18407571	No	
row_2	HAUS8	Haus8	506	0.01312832161784172	-0.23854607	No	
row_3	DYNLL1	Dynll1	561	0.006737084593623877	-0.26514724	No	
row_4	SFI1	Sfi1	650	-9.34612937271595E-4	-0.3132684	No	
row_5	AKAP9	Akap9	705	-0.005144568160176277	-0.34062603	No	
row_6	HAUS2	Haus2	781	-0.011237278580665588	-0.37667897	No	
row_7	CEP41	Cep41	810	-0.014034651219844818	-0.38546494	No	
row_8	TTBK2	Ttbk2	889	-0.019927673041820526	-0.4190455	No	
row_9	CEP83	Cep83	968	-0.025297118350863457	-0.45007557	No	
row_10	CNTRL	Cntrl	1027	-0.03012080118060112	-0.46777678	No	
row_11	CEP162	Cep162	1096	-0.03595767170190811	-0.48822424	No	
row_12	PCM1	Pcm1	1207	-0.04640002176165581	-0.5268903	No	
row_13	PRKAR2B	Prkar2b	1249	-0.050285547971725464	-0.52563125	No	
row_14	PCNT	Pcnt	1289	-0.0549919530749321	-0.5210328	No	
row_15	CEP97	Cep97	1625	-0.09835483133792877	-0.65919214	Yes	
row_16	TUBA4A	Tuba4a	1636	-0.10048556327819824	-0.61697954	Yes	
row_17	CCP110	Ccp110	1643	-0.10194863379001617	-0.5718645	Yes	
row_18	SCLT1	Sclt1	1646	-0.10238451510667801	-0.52433485	Yes	
row_19	PLK4	Plk4	1719	-0.12365725636482239	-0.5053319	Yes	
row_20	CEP290	Cep290	1740	-0.1318913698196411	-0.45372003	Yes	
row_21	RAB3IP	Rab3ip	1746	-0.13493262231349945	-0.39238545	Yes	
row_22	TUBA1A	Tuba1a	1790	-0.1604577898979187	-0.33989754	Yes	
row_23	TUBB4B	Tubb4b	1794	-0.16447784006595612	-0.26342502	Yes	
row_24	HSP90AA1	Hsp90aa1	1801	-0.17057761549949646	-0.18571068	Yes	
row_25	CDK1	Cdk1	1809	-0.18272265791893005	-0.10277924	Yes	
row_26	TUBB	Tubb5	1833	-0.2489050328731537	0.0027592885	Yes	
