NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCR5	Ccr5	2	0.33499446511268616	0.13622873	Yes	
row_1	CCR2	Ccr2	6	0.30017155408859253	0.25763085	Yes	
row_2	XCL1	Xcl1	9	0.2705119550228119	0.36742505	Yes	
row_3	CCL4	Ccl4	34	0.19268809258937836	0.4331942	Yes	
row_4	CXCR3	Cxcr3	118	0.09245146065950394	0.42536455	Yes	
row_5	GPR183	Gpr183	144	0.08153384178876877	0.44501516	Yes	
row_6	CXCR6	Cxcr6	149	0.08062325417995453	0.47586274	Yes	
row_7	QRFP	Qrfp	175	0.07102033495903015	0.49120334	Yes	
row_8	GPR18	Gpr18	186	0.0671633705496788	0.5132273	Yes	
row_9	F2RL1	F2rl1	197	0.0633266270160675	0.5336783	Yes	
row_10	PTGER4	Ptger4	366	0.03027244843542576	0.45352647	No	
row_11	S1PR5	S1pr5	460	0.018698718398809433	0.4099523	No	
row_12	CXCR5	Cxcr5	486	0.015545480884611607	0.40255108	No	
row_13	CCL3	Ccl3	536	0.009737765416502953	0.3795458	No	
row_14	CXCR4	Cxcr4	633	0.0013894559815526009	0.32722285	No	
row_15	PTGER2	Ptger2	817	-0.014800641685724258	0.23246391	No	
row_16	S1PR4	S1pr4	1223	-0.04767187312245369	0.028866451	No	
row_17	CX3CR1	Cx3cr1	1359	-0.062084585428237915	-0.0200622	No	
row_18	GPR68	Gpr68	1396	-0.06612508744001389	-0.012788998	No	
row_19	P2RY10	P2ry10	1441	-0.06978436559438705	-0.008423392	No	
row_20	S1PR1	S1pr1	1590	-0.09253500401973724	-0.05203146	No	
row_21	CCR9	Ccr9	1698	-0.11710519343614578	-0.06297747	No	
row_22	CCR7	Ccr7	1783	-0.15660057961940765	-0.045060206	No	
row_23	CCL5	Ccl5	1808	-0.18249179422855377	0.016528983	No	
