NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLIP1	Clip1	216	0.05813881382346153	-0.106361754	No	
row_1	HAUS8	Haus8	506	0.01312832161784172	-0.264284	No	
row_2	SMC3	Smc3	560	0.006745651364326477	-0.29219797	No	
row_3	DYNLL1	Dynll1	561	0.006737084593623877	-0.29057106	No	
row_4	RANBP2	Ranbp2	566	0.006421880330890417	-0.29124996	No	
row_5	SFI1	Sfi1	650	-9.34612937271595E-4	-0.33728957	No	
row_6	AKAP9	Akap9	705	-0.005144568160176277	-0.36614758	No	
row_7	CENPP	Cenpp	737	-0.007700385991483927	-0.3815679	No	
row_8	HAUS2	Haus2	781	-0.011237278580665588	-0.40282306	No	
row_9	CEP41	Cep41	810	-0.014034651219844818	-0.4150415	No	
row_10	CNTRL	Cntrl	1027	-0.03012080118060112	-0.52816916	No	
row_11	TUBB2B	Tubb2b	1065	-0.03293171897530556	-0.540841	No	
row_12	KIF2A	Kif2a	1085	-0.034333184361457825	-0.54314095	No	
row_13	TUBB2A	Tubb2a	1097	-0.036064162850379944	-0.5405636	No	
row_14	NEK7	Nek7	1138	-0.03964802622795105	-0.5532857	No	
row_15	ERCC6L	Ercc6l	1153	-0.04127506911754608	-0.55112225	No	
row_16	SMC4	Smc4	1156	-0.041590943932533264	-0.54219353	No	
row_17	PCM1	Pcm1	1207	-0.04640002176165581	-0.5588594	No	
row_18	PRKAR2B	Prkar2b	1249	-0.050285547971725464	-0.5695702	No	
row_19	PDS5A	Pds5a	1252	-0.05053882300853729	-0.55848074	No	
row_20	PCNT	Pcnt	1289	-0.0549919530749321	-0.5652679	No	
row_21	KIF18A	Kif18a	1308	-0.0568016953766346	-0.5615847	No	
row_22	TUBGCP5	Tubgcp5	1444	-0.07066743075847626	-0.61977047	No	
row_23	CENPE	Cenpe	1566	-0.08922138810157776	-0.665672	No	
row_24	CENPA	Cenpa	1623	-0.09803668409585953	-0.6732129	Yes	
row_25	TUBA4A	Tuba4a	1636	-0.10048556327819824	-0.6556362	Yes	
row_26	CCP110	Ccp110	1643	-0.10194863379001617	-0.63436174	Yes	
row_27	RPS27	Rps27	1669	-0.1082063689827919	-0.622167	Yes	
row_28	CDC20	Cdc20	1710	-0.12086818367242813	-0.6152758	Yes	
row_29	PLK4	Plk4	1719	-0.12365725636482239	-0.5898739	Yes	
row_30	SPC25	Spc25	1729	-0.12841852009296417	-0.5638796	Yes	
row_31	CEP290	Cep290	1740	-0.1318913698196411	-0.53760415	Yes	
row_32	NDC80	Ndc80	1751	-0.13706283271312714	-0.5100798	Yes	
row_33	SMC1A	Smc1a	1781	-0.1556764543056488	-0.48865145	Yes	
row_34	SMC2	Smc2	1789	-0.16029207408428192	-0.4538454	Yes	
row_35	TUBA1A	Tuba1a	1790	-0.1604577898979187	-0.41509745	Yes	
row_36	TUBB4B	Tubb4b	1794	-0.16447784006595612	-0.37705094	Yes	
row_37	CCNB1	Ccnb1	1799	-0.1683269888162613	-0.33863235	Yes	
row_38	HSP90AA1	Hsp90aa1	1801	-0.17057761549949646	-0.297998	Yes	
row_39	CDK1	Cdk1	1809	-0.18272265791893005	-0.25777534	Yes	
row_40	CDCA8	Cdca8	1810	-0.18462447822093964	-0.21319151	Yes	
row_41	SPC24	Spc24	1826	-0.20662614703178406	-0.17165583	Yes	
row_42	BIRC5	Birc5	1830	-0.2152295857667923	-0.12135361	Yes	
row_43	TUBB	Tubb5	1833	-0.2489050328731537	-0.062361896	Yes	
row_44	TUBA1B	Tuba1b	1834	-0.2674778997898102	0.002229699	Yes	
