NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLIP1	Clip1	216	0.05813881382346153	-0.11015033	No	
row_1	LMNA	Lmna	461	0.018618302419781685	-0.24369816	No	
row_2	HAUS8	Haus8	506	0.01312832161784172	-0.26588714	No	
row_3	SMC3	Smc3	560	0.006745651364326477	-0.294372	No	
row_4	DYNLL1	Dynll1	561	0.006737084593623877	-0.29306647	No	
row_5	RANBP2	Ranbp2	566	0.006421880330890417	-0.29407048	No	
row_6	SFI1	Sfi1	650	-9.34612937271595E-4	-0.3405448	No	
row_7	AKAP9	Akap9	705	-0.005144568160176277	-0.369902	No	
row_8	CENPP	Cenpp	737	-0.007700385991483927	-0.38583535	No	
row_9	HAUS2	Haus2	781	-0.011237278580665588	-0.40782866	No	
row_10	CEP41	Cep41	810	-0.014034651219844818	-0.4208482	No	
row_11	LPIN2	Lpin2	814	-0.01448470912873745	-0.41972765	No	
row_12	MASTL	Mastl	865	-0.01842242293059826	-0.44426343	No	
row_13	PSME1	Psme1	869	-0.018822303041815758	-0.44230238	No	
row_14	CNTRL	Cntrl	1027	-0.03012080118060112	-0.52471733	No	
row_15	TUBB2B	Tubb2b	1065	-0.03293171897530556	-0.539134	No	
row_16	KIF2A	Kif2a	1085	-0.034333184361457825	-0.54316103	No	
row_17	TUBB2A	Tubb2a	1097	-0.036064162850379944	-0.5423558	No	
row_18	NEK7	Nek7	1138	-0.03964802622795105	-0.5571573	No	
row_19	ERCC6L	Ercc6l	1153	-0.04127506911754608	-0.55702853	No	
row_20	SMC4	Smc4	1156	-0.041590943932533264	-0.55009323	No	
row_21	NIPBL	Nipbl	1187	-0.04439590498805046	-0.55835354	No	
row_22	PCM1	Pcm1	1207	-0.04640002176165581	-0.56004226	No	
row_23	TPR	Tpr	1232	-0.04864666610956192	-0.5641062	No	
row_24	PRKAR2B	Prkar2b	1249	-0.050285547971725464	-0.5633557	No	
row_25	PDS5A	Pds5a	1252	-0.05053882300853729	-0.5546864	No	
row_26	PCNT	Pcnt	1289	-0.0549919530749321	-0.56426615	No	
row_27	KIF18A	Kif18a	1308	-0.0568016953766346	-0.5633771	No	
row_28	TUBGCP5	Tubgcp5	1444	-0.07066743075847626	-0.6255684	Yes	
row_29	PSMB10	Psmb10	1451	-0.07217001914978027	-0.6149559	Yes	
row_30	KIF23	Kif23	1468	-0.07564869523048401	-0.6092905	Yes	
row_31	SET	Set	1484	-0.07748108357191086	-0.6027078	Yes	
row_32	PTTG1	Pttg1	1489	-0.07774710655212402	-0.58989036	Yes	
row_33	PRKCA	Prkca	1504	-0.07997304946184158	-0.5822627	Yes	
row_34	CENPE	Cenpe	1566	-0.08922138810157776	-0.59926224	Yes	
row_35	LMNB1	Lmnb1	1615	-0.096506267786026	-0.60754263	Yes	
row_36	PSME2	Psme2	1617	-0.09701362252235413	-0.58930534	Yes	
row_37	CENPA	Cenpa	1623	-0.09803668409585953	-0.57311827	Yes	
row_38	TUBA4A	Tuba4a	1636	-0.10048556327819824	-0.5603915	Yes	
row_39	CCP110	Ccp110	1643	-0.10194863379001617	-0.54400843	Yes	
row_40	RPS27	Rps27	1669	-0.1082063689827919	-0.537093	Yes	
row_41	CDC20	Cdc20	1710	-0.12086818367242813	-0.5361556	Yes	
row_42	PSMB9	Psmb9	1712	-0.12121158093214035	-0.5132292	Yes	
row_43	PLK4	Plk4	1719	-0.12365725636482239	-0.49263945	Yes	
row_44	SPC25	Spc25	1729	-0.12841852009296417	-0.4728134	Yes	
row_45	CEP290	Cep290	1740	-0.1318913698196411	-0.4528765	Yes	
row_46	NDC80	Ndc80	1751	-0.13706283271312714	-0.4319375	Yes	
row_47	SMC1A	Smc1a	1781	-0.1556764543056488	-0.41807166	Yes	
row_48	PSMB8	Psmb8	1787	-0.1582619994878769	-0.3902141	Yes	
row_49	SMC2	Smc2	1789	-0.16029207408428192	-0.35971466	Yes	
row_50	TUBA1A	Tuba1a	1790	-0.1604577898979187	-0.328621	Yes	
row_51	TUBB4B	Tubb4b	1794	-0.16447784006595612	-0.29843467	Yes	
row_52	CCNB1	Ccnb1	1799	-0.1683269888162613	-0.2680646	Yes	
row_53	HSP90AA1	Hsp90aa1	1801	-0.17057761549949646	-0.23557201	Yes	
row_54	CDK1	Cdk1	1809	-0.18272265791893005	-0.20409866	Yes	
row_55	CDCA8	Cdca8	1810	-0.18462447822093964	-0.16832195	Yes	
row_56	SPC24	Spc24	1826	-0.20662614703178406	-0.13671346	Yes	
row_57	BIRC5	Birc5	1830	-0.2152295857667923	-0.09669242	Yes	
row_58	TUBB	Tubb5	1833	-0.2489050328731537	-0.049583606	Yes	
row_59	TUBA1B	Tuba1b	1834	-0.2674778997898102	0.0022485007	Yes	
