NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCR5	Ccr5	2	0.33499446511268616	0.17063014	Yes	
row_1	CCR2	Ccr2	6	0.30017155408859253	0.32286093	Yes	
row_2	XCL1	Xcl1	9	0.2705119550228119	0.46043572	Yes	
row_3	CCL4	Ccl4	34	0.19268809258937836	0.5460546	Yes	
row_4	CXCR3	Cxcr3	118	0.09245146065950394	0.5479432	Yes	
row_5	CXCR6	Cxcr6	149	0.08062325417995453	0.5728253	Yes	
row_6	QRFP	Qrfp	175	0.07102033495903015	0.595526	Yes	
row_7	F2RL1	F2rl1	197	0.0633266270160675	0.61647564	Yes	
row_8	CXCR5	Cxcr5	486	0.015545480884611607	0.46654993	No	
row_9	CCL3	Ccl3	536	0.009737765416502953	0.44467774	No	
row_10	CXCR4	Cxcr4	633	0.0013894559815526009	0.39275843	No	
row_11	CX3CR1	Cx3cr1	1359	-0.062084585428237915	0.027106471	No	
row_12	CCR9	Ccr9	1698	-0.11710519343614578	-0.09816947	No	
row_13	CCR7	Ccr7	1783	-0.15660057961940765	-0.063944675	No	
row_14	CCL5	Ccl5	1808	-0.18249179422855377	0.016447335	No	
