NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLIP1	Clip1	216	0.05813881382346153	-0.098629616	No	
row_1	SMC3	Smc3	560	0.006745651364326477	-0.28553587	No	
row_2	DYNLL1	Dynll1	561	0.006737084593623877	-0.2831516	No	
row_3	RANBP2	Ranbp2	566	0.006421880330890417	-0.28308636	No	
row_4	CENPP	Cenpp	737	-0.007700385991483927	-0.3741801	No	
row_5	TUBB2B	Tubb2b	1065	-0.03293171897530556	-0.54298896	No	
row_6	KIF2A	Kif2a	1085	-0.034333184361457825	-0.5413239	No	
row_7	TUBB2A	Tubb2a	1097	-0.036064162850379944	-0.5346312	No	
row_8	ERCC6L	Ercc6l	1153	-0.04127506911754608	-0.5503769	No	
row_9	PDS5A	Pds5a	1252	-0.05053882300853729	-0.5865748	No	
row_10	KIF18A	Kif18a	1308	-0.0568016953766346	-0.59682554	No	
row_11	CENPE	Cenpe	1566	-0.08922138810157776	-0.70708174	Yes	
row_12	CENPA	Cenpa	1623	-0.09803668409585953	-0.70329106	Yes	
row_13	TUBA4A	Tuba4a	1636	-0.10048556327819824	-0.6743511	Yes	
row_14	RPS27	Rps27	1669	-0.1082063689827919	-0.6537162	Yes	
row_15	CDC20	Cdc20	1710	-0.12086818367242813	-0.6330153	Yes	
row_16	SPC25	Spc25	1729	-0.12841852009296417	-0.597501	Yes	
row_17	NDC80	Ndc80	1751	-0.13706283271312714	-0.560583	Yes	
row_18	SMC1A	Smc1a	1781	-0.1556764543056488	-0.52149254	Yes	
row_19	TUBA1A	Tuba1a	1790	-0.1604577898979187	-0.46912056	Yes	
row_20	TUBB4B	Tubb4b	1794	-0.16447784006595612	-0.41256645	Yes	
row_21	CCNB1	Ccnb1	1799	-0.1683269888162613	-0.35520202	Yes	
row_22	CDK1	Cdk1	1809	-0.18272265791893005	-0.29550222	Yes	
row_23	CDCA8	Cdca8	1810	-0.18462447822093964	-0.23016249	Yes	
row_24	SPC24	Spc24	1826	-0.20662614703178406	-0.16531436	Yes	
row_25	BIRC5	Birc5	1830	-0.2152295857667923	-0.09079892	Yes	
row_26	TUBA1B	Tuba1b	1834	-0.2674778997898102	0.0022075297	Yes	
