NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSME1	Psme1	869	-0.018822303041815758	-0.46672675	No	
row_1	TUBB2B	Tubb2b	1065	-0.03293171897530556	-0.55666566	No	
row_2	TUBB2A	Tubb2a	1097	-0.036064162850379944	-0.55507827	No	
row_3	PSMB10	Psmb10	1451	-0.07217001914978027	-0.7114214	No	
row_4	PSME2	Psme2	1617	-0.09701362252235413	-0.751893	Yes	
row_5	TUBA4A	Tuba4a	1636	-0.10048556327819824	-0.70998347	Yes	
row_6	PSMB9	Psmb9	1712	-0.12121158093214035	-0.68864435	Yes	
row_7	PSMB8	Psmb8	1787	-0.1582619994878769	-0.6476657	Yes	
row_8	TUBA1A	Tuba1a	1790	-0.1604577898979187	-0.56608194	Yes	
row_9	TUBB4B	Tubb4b	1794	-0.16447784006595612	-0.482975	Yes	
row_10	CCNB1	Ccnb1	1799	-0.1683269888162613	-0.3984329	Yes	
row_11	HSP90AA1	Hsp90aa1	1801	-0.17057761549949646	-0.3110864	Yes	
row_12	CDK1	Cdk1	1809	-0.18272265791893005	-0.22077127	Yes	
row_13	HSP90AB1	Hsp90ab1	1817	-0.1897011250257492	-0.12686032	Yes	
row_14	TUBA1B	Tuba1b	1834	-0.2674778997898102	0.0021930337	Yes	
