NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PFN1	Pfn1	16	0.23905713856220245	0.26729617	Yes	
row_1	ACTB	Actb	41	0.18240998685359955	0.46478906	Yes	
row_2	DUSP2	Dusp2	181	0.06913652271032333	0.4684232	Yes	
row_3	EGR1	Egr1	221	0.0566648505628109	0.51247936	Yes	
row_4	FLNA	Flna	420	0.0239020437002182	0.43152928	No	
row_5	NR4A1	Nr4a1	445	0.02044553868472576	0.4419823	No	
row_6	PPP1R12A	Ppp1r12a	580	0.005385964643210173	0.37473723	No	
row_7	MBNL1	Mbnl1	605	0.003569855121895671	0.36570185	No	
row_8	EGR2	Egr2	723	-0.0067045255564153194	0.30929965	No	
row_9	TFE3	Tfe3	798	-0.012975781224668026	0.28371418	No	
row_10	PRDM1	Prdm1	955	-0.024555660784244537	0.22654524	No	
row_11	LSP1	Lsp1	980	-0.02619684487581253	0.24364	No	
row_12	SVIL	Svil	1073	-0.03336840495467186	0.23173591	No	
row_13	KLF6	Klf6	1465	-0.07542913407087326	0.10447899	No	
row_14	ATRX	Atrx	1546	-0.08613325655460358	0.1600878	No	
