NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ID3	Id3	50	0.17308126389980316	0.013611695	No	
row_1	SLC16A2	Slc16a2	83	0.13360944390296936	0.027813097	No	
row_2	RFC1	Rfc1	240	0.05145522952079773	-0.047163546	No	
row_3	ARID4A	Arid4a	246	0.04915753751993179	-0.038146056	No	
row_4	MYC	Myc	324	0.036377351731061935	-0.07251436	No	
row_5	TOP1	Top1	353	0.03244427591562271	-0.08039254	No	
row_6	GAPDH	Gapdh	365	0.030528191477060318	-0.079212844	No	
row_7	OTUD7B	Otud7b	435	0.021844469010829926	-0.11259545	No	
row_8	SERBP1	Serbp1	514	0.012122450396418571	-0.15335433	No	
row_9	LUC7L3	Luc7l3	540	0.009513002820312977	-0.16506524	No	
row_10	SMC3	Smc3	560	0.006745651364326477	-0.17408195	No	
row_11	KBTBD7	Kbtbd7	640	8.389403810724616E-4	-0.2181132	No	
row_12	CTCF	Ctcf	733	-0.007467464543879032	-0.26782984	No	
row_13	ASXL2	Asxl2	764	-0.009334797039628029	-0.28238314	No	
row_14	DCK	Dck	797	-0.012973496690392494	-0.29718158	No	
row_15	TRMT6	Trmt6	837	-0.016559896990656853	-0.31503722	No	
row_16	GATA3	Gata3	866	-0.018437964841723442	-0.3262824	No	
row_17	RPS6KA5	Rps6ka5	900	-0.02043304778635502	-0.3398475	No	
row_18	DCLRE1A	Dclre1a	1038	-0.030853088945150375	-0.40913844	No	
row_19	USP2	Usp2	1043	-0.03128213807940483	-0.40385813	No	
row_20	DAXX	Daxx	1135	-0.039269693195819855	-0.4453699	No	
row_21	SMC6	Smc6	1139	-0.03968470171093941	-0.43750978	No	
row_22	EGR3	Egr3	1154	-0.041312165558338165	-0.43541744	No	
row_23	NIPBL	Nipbl	1187	-0.04439590498805046	-0.44266218	No	
row_24	TBC1D31	Tbc1d31	1193	-0.044938456267118454	-0.4346589	No	
row_25	SIK2	Sik2	1219	-0.0475153774023056	-0.4372344	No	
row_26	MTF2	Mtf2	1233	-0.04867782071232796	-0.43281153	No	
row_27	GEN1	Gen1	1250	-0.050302792340517044	-0.42967772	No	
row_28	PRRC2C	Prrc2c	1362	-0.062414366751909256	-0.47682393	No	
row_29	CASP8AP2	Casp8ap2	1386	-0.06466978043317795	-0.4741558	No	
row_30	JADE1	Jade1	1449	-0.07199704647064209	-0.4915628	No	
row_31	ITGA1	Itga1	1500	-0.07941204309463501	-0.5004684	No	
row_32	ATRX	Atrx	1546	-0.08613325655460358	-0.5049587	No	
row_33	MAT2A	Mat2a	1568	-0.08971535414457321	-0.49515	No	
row_34	ATAD2	Atad2	1651	-0.1029433012008667	-0.516316	Yes	
row_35	HNRNPA1	Hnrnpa1	1667	-0.1080637201666832	-0.4987371	Yes	
row_36	POLA1	Pola1	1670	-0.10854532569646835	-0.47376356	Yes	
row_37	CDCA7	Cdca7	1674	-0.1100953072309494	-0.44897735	Yes	
row_38	MCM6	Mcm6	1678	-0.11081881821155548	-0.42401722	Yes	
row_39	PIM1	Pim1	1682	-0.1116589680314064	-0.39885512	Yes	
row_40	SRSF2	Srsf2	1696	-0.11687639355659485	-0.3780379	Yes	
row_41	NCL	Ncl	1697	-0.11698923259973526	-0.3499147	Yes	
row_42	NSD3	Nsd3	1703	-0.11847104877233505	-0.32423484	Yes	
row_43	RPS19	Rps19	1727	-0.12760351598262787	-0.30643803	Yes	
row_44	CBX5	Cbx5	1737	-0.1300150603055954	-0.28022274	Yes	
row_45	MCM3	Mcm3	1747	-0.13566115498542786	-0.2526502	Yes	
row_46	PCLAF	Pclaf	1772	-0.1505996435880661	-0.22988522	Yes	
row_47	EZH2	Ezh2	1780	-0.15542131662368774	-0.19644266	Yes	
row_48	SMC1A	Smc1a	1781	-0.1556764543056488	-0.15901941	Yes	
row_49	SMC2	Smc2	1789	-0.16029207408428192	-0.12440599	Yes	
row_50	STMN1	Stmn1	1797	-0.1671341210603714	-0.08814779	Yes	
row_51	CDK1	Cdk1	1809	-0.18272265791893005	-0.05038188	Yes	
row_52	PTMA	Ptma	1835	-0.27479875087738037	0.0016795602	Yes	
