NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ID3	Id3	50	0.17308126389980316	0.016174654	No	
row_1	TMEM108	Tmem108	69	0.15291185677051544	0.04509465	No	
row_2	ARID4A	Arid4a	246	0.04915753751993179	-0.04075271	No	
row_3	MYC	Myc	324	0.036377351731061935	-0.07451992	No	
row_4	GAPDH	Gapdh	365	0.030528191477060318	-0.089096285	No	
row_5	APPL1	Appl1	391	0.026846544817090034	-0.09622665	No	
row_6	OTUD7B	Otud7b	435	0.021844469010829926	-0.11469366	No	
row_7	LUC7L3	Luc7l3	540	0.009513002820312977	-0.17040156	No	
row_8	SMC3	Smc3	560	0.006745651364326477	-0.17930236	No	
row_9	KBTBD7	Kbtbd7	640	8.389403810724616E-4	-0.22324724	No	
row_10	ASXL2	Asxl2	764	-0.009334797039628029	-0.28962103	No	
row_11	DCK	Dck	797	-0.012973496690392494	-0.30420083	No	
row_12	TRMT6	Trmt6	837	-0.016559896990656853	-0.32177913	No	
row_13	RPS6KA5	Rps6ka5	900	-0.02043304778635502	-0.35122642	No	
row_14	EIF4A1	Eif4a1	939	-0.02367580682039261	-0.3664317	No	
row_15	CCNT1	Ccnt1	983	-0.026428094133734703	-0.38373023	No	
row_16	OLFML3	Olfml3	1071	-0.033244211226701736	-0.42388588	No	
row_17	HNRNPA2B1	Hnrnpa2b1	1130	-0.03880815580487251	-0.44641295	No	
row_18	SMC6	Smc6	1139	-0.03968470171093941	-0.44076797	No	
row_19	NOLC1	Nolc1	1152	-0.0412740521132946	-0.43695372	No	
row_20	NIPBL	Nipbl	1187	-0.04439590498805046	-0.44464102	No	
row_21	PBRM1	Pbrm1	1214	-0.04719124734401703	-0.4471439	No	
row_22	MTF2	Mtf2	1233	-0.04867782071232796	-0.44479606	No	
row_23	GEN1	Gen1	1250	-0.050302792340517044	-0.44091603	No	
row_24	MSH5	Msh5	1251	-0.050358179956674576	-0.42807832	No	
row_25	PRPF4B	Prpf4b	1259	-0.050986018031835556	-0.41899338	No	
row_26	ZCWPW1	Zcwpw1	1324	-0.05866421014070511	-0.43981242	No	
row_27	YTHDC1	Ythdc1	1365	-0.06282732635736465	-0.44615483	No	
row_28	CASP8AP2	Casp8ap2	1386	-0.06466978043317795	-0.44084814	No	
row_29	HNRNPR	Hnrnpr	1448	-0.0718570426106453	-0.45662704	No	
row_30	JADE1	Jade1	1449	-0.07199704647064209	-0.43827298	No	
row_31	MAT2A	Mat2a	1568	-0.08971535414457321	-0.48136067	No	
row_32	EMSY	Emsy	1645	-0.10218273848295212	-0.4977933	Yes	
row_33	ATAD2	Atad2	1651	-0.1029433012008667	-0.47434506	Yes	
row_34	POLA1	Pola1	1670	-0.10854532569646835	-0.4567353	Yes	
row_35	CDCA7	Cdca7	1674	-0.1100953072309494	-0.43034586	Yes	
row_36	MCM6	Mcm6	1678	-0.11081881821155548	-0.403772	Yes	
row_37	PIM1	Pim1	1682	-0.1116589680314064	-0.37698394	Yes	
row_38	ATAD5	Atad5	1692	-0.1151510626077652	-0.35265946	Yes	
row_39	NCL	Ncl	1697	-0.11698923259973526	-0.32507154	Yes	
row_40	RRM2	Rrm2	1716	-0.12279347330331802	-0.30382955	Yes	
row_41	RPS20	Rps20	1739	-0.1313980668783188	-0.2826299	Yes	
row_42	MCM3	Mcm3	1747	-0.13566115498542786	-0.2519589	Yes	
row_43	PCLAF	Pclaf	1772	-0.1505996435880661	-0.22698219	Yes	
row_44	EZH2	Ezh2	1780	-0.15542131662368774	-0.19127378	Yes	
row_45	SMC1A	Smc1a	1781	-0.1556764543056488	-0.15158752	Yes	
row_46	SLCO3A1	Slco3a1	1793	-0.16396859288215637	-0.115936056	Yes	
row_47	STMN1	Stmn1	1797	-0.1671341210603714	-0.07500583	Yes	
row_48	CDK1	Cdk1	1809	-0.18272265791893005	-0.034573432	Yes	
row_49	LIG1	Lig1	1820	-0.19701501727104187	0.010061459	Yes	
