NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ID3	Id3	50	0.17308126389980316	0.009894541	No	
row_1	TEX9	Tex9	82	0.1345035582780838	0.02197477	No	
row_2	SLC16A2	Slc16a2	83	0.13360944390296936	0.051187623	No	
row_3	RFC1	Rfc1	240	0.05145522952079773	-0.02476157	No	
row_4	ARID4A	Arid4a	246	0.04915753751993179	-0.016808446	No	
row_5	GABPB2	Gabpb2	281	0.04192030802369118	-0.026647868	No	
row_6	MYC	Myc	324	0.036377351731061935	-0.042170994	No	
row_7	TOP1	Top1	353	0.03244427591562271	-0.050728463	No	
row_8	GAPDH	Gapdh	365	0.030528191477060318	-0.050202355	No	
row_9	RPL28	Rpl28	415	0.02424643002450466	-0.07229063	No	
row_10	SERBP1	Serbp1	514	0.012122450396418571	-0.12441934	No	
row_11	SMC3	Smc3	560	0.006745651364326477	-0.14809816	No	
row_12	CTCF	Ctcf	733	-0.007467464543879032	-0.24260855	No	
row_13	ASXL2	Asxl2	764	-0.009334797039628029	-0.2573367	No	
row_14	DCK	Dck	797	-0.012973496690392494	-0.2723872	No	
row_15	RPS6KA5	Rps6ka5	900	-0.02043304778635502	-0.32493475	No	
row_16	DCLRE1A	Dclre1a	1038	-0.030853088945150375	-0.394768	No	
row_17	DAXX	Daxx	1135	-0.039269693195819855	-0.4398432	No	
row_18	LUC7L2	Luc7l2	1172	-0.04311182349920273	-0.45054007	No	
row_19	NIPBL	Nipbl	1187	-0.04439590498805046	-0.44865876	No	
row_20	SIK2	Sik2	1219	-0.0475153774023056	-0.45559794	No	
row_21	MTF2	Mtf2	1233	-0.04867782071232796	-0.45222148	No	
row_22	PDS5A	Pds5a	1252	-0.05053882300853729	-0.45123297	No	
row_23	YTHDC1	Ythdc1	1365	-0.06282732635736465	-0.500101	No	
row_24	CASP8AP2	Casp8ap2	1386	-0.06466978043317795	-0.4971408	No	
row_25	JADE1	Jade1	1449	-0.07199704647064209	-0.51605535	No	
row_26	MAT2A	Mat2a	1568	-0.08971535414457321	-0.56239825	No	
row_27	EIF5A	Eif5a	1637	-0.10049199312925339	-0.5784364	Yes	
row_28	ATAD2	Atad2	1651	-0.1029433012008667	-0.5631951	Yes	
row_29	HNRNPA1	Hnrnpa1	1667	-0.1080637201666832	-0.54795223	Yes	
row_30	POLA1	Pola1	1670	-0.10854532569646835	-0.52533746	Yes	
row_31	CDCA7	Cdca7	1674	-0.1100953072309494	-0.50294274	Yes	
row_32	MCM6	Mcm6	1678	-0.11081881821155548	-0.48038983	Yes	
row_33	PIM1	Pim1	1682	-0.1116589680314064	-0.45765322	Yes	
row_34	SRSF2	Srsf2	1696	-0.11687639355659485	-0.43936557	Yes	
row_35	FUS	Fus	1699	-0.11723325401544571	-0.41485122	Yes	
row_36	NSD3	Nsd3	1703	-0.11847104877233505	-0.39062518	Yes	
row_37	PLK4	Plk4	1719	-0.12365725636482239	-0.3719729	Yes	
row_38	CBX5	Cbx5	1737	-0.1300150603055954	-0.35304844	Yes	
row_39	RPS20	Rps20	1739	-0.1313980668783188	-0.32487807	Yes	
row_40	MCM3	Mcm3	1747	-0.13566115498542786	-0.29912943	Yes	
row_41	LGALS1	Lgals1	1770	-0.14935307204723358	-0.2787717	Yes	
row_42	PCLAF	Pclaf	1772	-0.1505996435880661	-0.24640301	Yes	
row_43	EZH2	Ezh2	1780	-0.15542131662368774	-0.21633393	Yes	
row_44	SMC1A	Smc1a	1781	-0.1556764543056488	-0.18229626	Yes	
row_45	SMC2	Smc2	1789	-0.16029207408428192	-0.15116224	Yes	
row_46	STMN1	Stmn1	1797	-0.1671341210603714	-0.11853222	Yes	
row_47	AUTS2	Auts2	1798	-0.16746070981025696	-0.081918	Yes	
row_48	LIG1	Lig1	1820	-0.19701501727104187	-0.050580326	Yes	
row_49	PTMA	Ptma	1835	-0.27479875087738037	0.0016770655	Yes	
