NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ID3	Id3	50	0.17308126389980316	0.015243414	No	
row_1	SLC16A2	Slc16a2	83	0.13360944390296936	0.03070235	No	
row_2	RFC1	Rfc1	240	0.05145522952079773	-0.043744978	No	
row_3	ARID4A	Arid4a	246	0.04915753751993179	-0.03426694	No	
row_4	MYC	Myc	324	0.036377351731061935	-0.068271466	No	
row_5	TOP1	Top1	353	0.03244427591562271	-0.07583794	No	
row_6	GAPDH	Gapdh	365	0.030528191477060318	-0.07436976	No	
row_7	OTUD7B	Otud7b	435	0.021844469010829926	-0.10752678	No	
row_8	SERBP1	Serbp1	514	0.012122450396418571	-0.14814803	No	
row_9	LUC7L3	Luc7l3	540	0.009513002820312977	-0.1597623	No	
row_10	SMC3	Smc3	560	0.006745651364326477	-0.16871007	No	
row_11	KBTBD7	Kbtbd7	640	8.389403810724616E-4	-0.21270873	No	
row_12	CTCF	Ctcf	733	-0.007467464543879032	-0.26232684	No	
row_13	ASXL2	Asxl2	764	-0.009334797039628029	-0.2767836	No	
row_14	DCK	Dck	797	-0.012973496690392494	-0.29145083	No	
row_15	TRMT6	Trmt6	837	-0.016559896990656853	-0.30913964	No	
row_16	GATA3	Gata3	866	-0.018437964841723442	-0.3202039	No	
row_17	CITED2	Cited2	898	-0.020316509529948235	-0.3324778	No	
row_18	RPS6KA5	Rps6ka5	900	-0.02043304778635502	-0.32793468	No	
row_19	DCLRE1A	Dclre1a	1038	-0.030853088945150375	-0.3968946	No	
row_20	USP2	Usp2	1043	-0.03128213807940483	-0.39132094	No	
row_21	DAXX	Daxx	1135	-0.039269693195819855	-0.43243754	No	
row_22	SMC6	Smc6	1139	-0.03968470171093941	-0.42420596	No	
row_23	EGR3	Egr3	1154	-0.041312165558338165	-0.42172348	No	
row_24	NIPBL	Nipbl	1187	-0.04439590498805046	-0.4285437	No	
row_25	TBC1D31	Tbc1d31	1193	-0.044938456267118454	-0.4201193	No	
row_26	SIK2	Sik2	1219	-0.0475153774023056	-0.4222433	No	
row_27	MTF2	Mtf2	1233	-0.04867782071232796	-0.41736183	No	
row_28	GEN1	Gen1	1250	-0.050302792340517044	-0.41375336	No	
row_29	PRRC2C	Prrc2c	1362	-0.062414366751909256	-0.460282	No	
row_30	CASP8AP2	Casp8ap2	1386	-0.06466978043317795	-0.45700288	No	
row_31	JADE1	Jade1	1449	-0.07199704647064209	-0.4737182	No	
row_32	ITGA1	Itga1	1500	-0.07941204309463501	-0.48186663	No	
row_33	ATAD2	Atad2	1651	-0.1029433012008667	-0.54009837	Yes	
row_34	HNRNPA1	Hnrnpa1	1667	-0.1080637201666832	-0.5215058	Yes	
row_35	POLA1	Pola1	1670	-0.10854532569646835	-0.49551812	Yes	
row_36	CDCA7	Cdca7	1674	-0.1100953072309494	-0.46970302	Yes	
row_37	MCM6	Mcm6	1678	-0.11081881821155548	-0.44370723	Yes	
row_38	PIM1	Pim1	1682	-0.1116589680314064	-0.41750163	Yes	
row_39	SRSF2	Srsf2	1696	-0.11687639355659485	-0.39558905	Yes	
row_40	NCL	Ncl	1697	-0.11698923259973526	-0.36637357	Yes	
row_41	NSD3	Nsd3	1703	-0.11847104877233505	-0.339586	Yes	
row_42	RPS19	Rps19	1727	-0.12760351598262787	-0.32059053	Yes	
row_43	CBX5	Cbx5	1737	-0.1300150603055954	-0.29315847	Yes	
row_44	MCM3	Mcm3	1747	-0.13566115498542786	-0.26431644	Yes	
row_45	PCLAF	Pclaf	1772	-0.1505996435880661	-0.2401378	Yes	
row_46	EZH2	Ezh2	1780	-0.15542131662368774	-0.20524189	Yes	
row_47	SMC1A	Smc1a	1781	-0.1556764543056488	-0.16636509	Yes	
row_48	SMC2	Smc2	1789	-0.16029207408428192	-0.13025282	Yes	
row_49	STMN1	Stmn1	1797	-0.1671341210603714	-0.09243191	Yes	
row_50	CDK1	Cdk1	1809	-0.18272265791893005	-0.052956484	Yes	
row_51	PTMA	Ptma	1835	-0.27479875087738037	0.0016785782	Yes	
