NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ID3	Id3	50	0.17308126389980316	0.015663315	No	
row_1	TMEM108	Tmem108	69	0.15291185677051544	0.044123385	No	
row_2	ABI2	Abi2	131	0.08653464913368225	0.031841807	No	
row_3	ARID4A	Arid4a	246	0.04915753751993179	-0.019463383	No	
row_4	GAPDH	Gapdh	365	0.030528191477060318	-0.07769563	No	
row_5	APPL1	Appl1	391	0.026846544817090034	-0.08489991	No	
row_6	OTUD7B	Otud7b	435	0.021844469010829926	-0.103420004	No	
row_7	LUC7L3	Luc7l3	540	0.009513002820312977	-0.15912439	No	
row_8	SMC3	Smc3	560	0.006745651364326477	-0.1680398	No	
row_9	KBTBD7	Kbtbd7	640	8.389403810724616E-4	-0.21196257	No	
row_10	CTCF	Ctcf	733	-0.007467464543879032	-0.26147828	No	
row_11	ASXL2	Asxl2	764	-0.009334797039628029	-0.27588677	No	
row_12	DCK	Dck	797	-0.012973496690392494	-0.29049605	No	
row_13	TRMT6	Trmt6	837	-0.016559896990656853	-0.30811262	No	
row_14	RPS6KA5	Rps6ka5	900	-0.02043304778635502	-0.33760273	No	
row_15	CCNT1	Ccnt1	983	-0.026428094133734703	-0.376756	No	
row_16	SMC6	Smc6	1139	-0.03968470171093941	-0.45335227	No	
row_17	NOLC1	Nolc1	1152	-0.0412740521132946	-0.44965994	No	
row_18	NIPBL	Nipbl	1187	-0.04439590498805046	-0.45747176	No	
row_19	PBRM1	Pbrm1	1214	-0.04719124734401703	-0.46011022	No	
row_20	SIK2	Sik2	1219	-0.0475153774023056	-0.4503765	No	
row_21	MTF2	Mtf2	1233	-0.04867782071232796	-0.44537795	No	
row_22	GEN1	Gen1	1250	-0.050302792340517044	-0.44164607	No	
row_23	PRRC2C	Prrc2c	1362	-0.062414366751909256	-0.4879361	No	
row_24	YTHDC1	Ythdc1	1365	-0.06282732635736465	-0.47322828	No	
row_25	CASP8AP2	Casp8ap2	1386	-0.06466978043317795	-0.46811223	No	
row_26	HNRNPR	Hnrnpr	1448	-0.0718570426106453	-0.48409086	No	
row_27	JADE1	Jade1	1449	-0.07199704647064209	-0.465956	No	
row_28	CHD2	Chd2	1506	-0.08029770106077194	-0.47701526	No	
row_29	EMSY	Emsy	1645	-0.10218273848295212	-0.5283721	Yes	
row_30	ATAD2	Atad2	1651	-0.1029433012008667	-0.50523573	Yes	
row_31	HNRNPA1	Hnrnpa1	1667	-0.1080637201666832	-0.48639616	Yes	
row_32	POLA1	Pola1	1670	-0.10854532569646835	-0.46017274	Yes	
row_33	CDCA7	Cdca7	1674	-0.1100953072309494	-0.43411756	Yes	
row_34	MCM6	Mcm6	1678	-0.11081881821155548	-0.4078801	Yes	
row_35	PIM1	Pim1	1682	-0.1116589680314064	-0.38143107	Yes	
row_36	ATAD5	Atad5	1692	-0.1151510626077652	-0.35745436	Yes	
row_37	SRSF2	Srsf2	1696	-0.11687639355659485	-0.32969114	Yes	
row_38	NCL	Ncl	1697	-0.11698923259973526	-0.3002235	Yes	
row_39	NSD3	Nsd3	1703	-0.11847104877233505	-0.27317593	Yes	
row_40	RRM2	Rrm2	1716	-0.12279347330331802	-0.24895023	Yes	
row_41	CBX5	Cbx5	1737	-0.1300150603055954	-0.22737479	Yes	
row_42	MCM3	Mcm3	1747	-0.13566115498542786	-0.19823195	Yes	
row_43	PCLAF	Pclaf	1772	-0.1505996435880661	-0.17370623	Yes	
row_44	EZH2	Ezh2	1780	-0.15542131662368774	-0.13846882	Yes	
row_45	SMC1A	Smc1a	1781	-0.1556764543056488	-0.09925652	Yes	
row_46	SLCO3A1	Slco3a1	1793	-0.16396859288215637	-0.06410083	Yes	
row_47	STMN1	Stmn1	1797	-0.1671341210603714	-0.023678523	Yes	
row_48	CDK1	Cdk1	1809	-0.18272265791893005	0.016201008	Yes	
