NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ARAP2	Arap2	52	0.17161622643470764	0.0884021	Yes	
row_1	C1orf21	1700025G04Rik	56	0.16795288026332855	0.2012883	Yes	
row_2	RPL13A	Rpl13a	62	0.16006235778331757	0.3076921	Yes	
row_3	SATB1	Satb1	160	0.07633791118860245	0.3063379	Yes	
row_4	DUSP6	Dusp6	199	0.06273907423019409	0.3281987	Yes	
row_5	ZFPM1	Zfpm1	206	0.061315517872571945	0.36670986	Yes	
row_6	USP15	Usp15	237	0.051673077046871185	0.38542932	Yes	
row_7	GABPB2	Gabpb2	281	0.04192030802369118	0.39033914	Yes	
row_8	TOB1	Tob1	330	0.03552950918674469	0.38813734	No	
row_9	LUC7L3	Luc7l3	540	0.009513002820312977	0.27953678	No	
row_10	HOXB4	Hoxb4	628	0.0018977515865117311	0.2329235	No	
row_11	CLDN10	Cldn10	815	-0.014485949650406837	0.14037952	No	
row_12	FHL3	Fhl3	863	-0.018238864839076996	0.12693676	No	
row_13	PLAG1	Plag1	915	-0.02166726626455784	0.1136294	No	
row_14	PREX1	Prex1	1162	-0.04204854369163513	0.006842536	No	
row_15	ZBTB7B	Zbtb7b	1186	-0.04438791051506996	0.024448391	No	
row_16	MPP5	Mpp5	1279	-0.05337816849350929	0.010189706	No	
row_17	ZBTB20	Zbtb20	1299	-0.05611911043524742	0.037998486	No	
row_18	JUN	Jun	1350	-0.06111736223101616	0.05214542	No	
row_19	CAST	Cast	1381	-0.0642756000161171	0.079459384	No	
row_20	UBE3A	Ube3a	1384	-0.06442958861589432	0.12229686	No	
row_21	HOXA7	Hoxa7	1428	-0.06876593828201294	0.14551449	No	
row_22	SRSF2	Srsf2	1696	-0.11687639355659485	0.07819381	No	
