NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SH2D1A	Sh2d1a	11	0.2586610019207001	0.2768589	Yes	
row_1	C1orf21	1700025G04Rik	56	0.16795288026332855	0.4363877	Yes	
row_2	JARID2	Jarid2	290	0.041062477976083755	0.35334638	No	
row_3	JMJD1C	Jmjd1c	309	0.03841213881969452	0.38547334	No	
row_4	LMNA	Lmna	461	0.018618302419781685	0.32291484	No	
row_5	MAML3	Maml3	482	0.016004202887415886	0.3294358	No	
row_6	NFYB	Nfyb	491	0.015262631699442863	0.34173545	No	
row_7	BAZ1A	Baz1a	511	0.012260275892913342	0.34471077	No	
row_8	LUC7L3	Luc7l3	540	0.009513002820312977	0.33973905	No	
row_9	MBNL1	Mbnl1	605	0.003569855121895671	0.3084979	No	
row_10	FLI1	Fli1	652	-0.001178469625301659	0.28452596	No	
row_11	CHD6	Chd6	840	-0.016747429966926575	0.20015192	No	
row_12	SOX4	Sox4	919	-0.02178734540939331	0.1811473	No	
row_13	SLC5A3	Slc5a3	988	-0.026699069887399673	0.17300616	No	
row_14	ZBTB20	Zbtb20	1299	-0.05611911043524742	0.06414793	No	
row_15	XKRX	Xkrx	1357	-0.06187363341450691	0.10051811	No	
row_16	POU2AF1	Pou2af1	1427	-0.068740613758564	0.13780896	No	
row_17	UBALD2	Ubald2	1502	-0.07985879480838776	0.18451414	No	
