NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MEF2A	Mef2a	5	0.3118160367012024	0.055850614	Yes	
row_1	CDK2AP1	Cdk2ap1	12	0.2562415301799774	0.100666404	Yes	
row_2	CALM3	Calm2	13	0.2538653612136841	0.14846338	Yes	
row_3	LRRK1	Lrrk1	19	0.22684648633003235	0.1883162	Yes	
row_4	SYTL2	Sytl2	29	0.20187465846538544	0.22118168	Yes	
row_5	ID3	Id3	50	0.17308126389980316	0.24234031	Yes	
row_6	ARRB2	Arrb2	84	0.13318657875061035	0.24855912	Yes	
row_7	SH3BGRL3	Sh3bgrl3	102	0.10376562923192978	0.25838152	Yes	
row_8	ADD3	Add3	105	0.1017087772488594	0.27638805	Yes	
row_9	CDKN2C	Cdkn2c	135	0.08533194661140442	0.27588266	Yes	
row_10	GPR183	Gpr183	144	0.08153384178876877	0.2866622	Yes	
row_11	DUSP2	Dusp2	181	0.06913652271032333	0.27910757	Yes	
row_12	NEDD4	Nedd4	183	0.06828422099351883	0.29139248	Yes	
row_13	TAOK3	Taok3	192	0.06407351046800613	0.2988846	Yes	
row_14	SNX10	Snx10	210	0.060096096247434616	0.30048501	Yes	
row_15	ARL4D	Arl4d	214	0.058574650436639786	0.309799	Yes	
row_16	C12orf65	2810006K23Rik	220	0.056822311133146286	0.3176402	Yes	
row_17	FOXN3	Foxn3	258	0.046810708940029144	0.3053107	Yes	
row_18	MDGA2	Mdga2	262	0.04565833881497383	0.31219283	Yes	
row_19	NCALD	Ncald	270	0.04298921301960945	0.3162867	Yes	
row_20	RC3H2	Rc3h2	275	0.04256268963217735	0.32201457	Yes	
row_21	ZMYND8	Zmynd8	278	0.042331915348768234	0.32884184	Yes	
row_22	PBXIP1	Pbxip1	293	0.04054982215166092	0.32847643	No	
row_23	KLF7	Klf7	315	0.03740835562348366	0.32351956	No	
row_24	DDIT4	Ddit4	332	0.03516000509262085	0.3209965	No	
row_25	NEMF	Nemf	346	0.033064380288124084	0.3197932	No	
row_26	MAST4	Mast4	352	0.03246506303548813	0.32304847	No	
row_27	LMNA	Lmna	461	0.018618302419781685	0.2648396	No	
row_28	ARHGEF12	Arhgef12	479	0.01621590182185173	0.25817838	No	
row_29	NFIA	Nfia	488	0.01550579909235239	0.25652632	No	
row_30	NFYB	Nfyb	491	0.015262631699442863	0.2582571	No	
row_31	CCL3	Ccl3	536	0.009737765416502953	0.23494762	No	
row_32	PLP1	Plp1	537	0.009719726629555225	0.23677762	No	
row_33	CLCN5	Clcn5	539	0.009580599144101143	0.23800999	No	
row_34	CDC42EP3	Cdc42ep3	550	0.00837921816855669	0.23387332	No	
row_35	SMARCA2	Smarca2	558	0.006966398097574711	0.23118493	No	
row_36	MBNL1	Mbnl1	605	0.003569855121895671	0.20557134	No	
row_37	STAT3	Stat3	609	0.003381656017154455	0.20449375	No	
row_38	BPTF	Bptf	685	-0.003637966001406312	0.16232155	No	
row_39	EGR2	Egr2	723	-0.0067045255564153194	0.14244099	No	
row_40	CAMKK1	Camkk1	742	-0.007948080077767372	0.13365172	No	
row_41	MINDY2	Mindy2	799	-0.012977679260075092	0.104095116	No	
row_42	IRS2	Irs2	800	-0.01315753161907196	0.10657238	No	
row_43	CLDN10	Cldn10	815	-0.014485949650406837	0.10129975	No	
row_44	TRPS1	Trps1	819	-0.015056544914841652	0.10242026	No	
row_45	PER3	Per3	830	-0.01605438068509102	0.099728644	No	
row_46	CHD6	Chd6	840	-0.016747429966926575	0.097738944	No	
row_47	ZNF821	Zfp821	888	-0.019860994070768356	0.07462116	No	
row_48	CITED2	Cited2	898	-0.020316509529948235	0.07330344	No	
row_49	RPS6KA5	Rps6ka5	900	-0.02043304778635502	0.07657908	No	
row_50	SOX4	Sox4	919	-0.02178734540939331	0.070395425	No	
row_51	WNK1	Wnk1	921	-0.02196892909705639	0.07396024	No	
row_52	PRDM2	Prdm2	926	-0.02221989631652832	0.07585801	No	
row_53	CRYAB	Cryab	931	-0.02258899249136448	0.077825285	No	
row_54	ZEB2	Zeb2	941	-0.023820962756872177	0.07716736	No	
row_55	ANKRD12	Ankrd12	948	-0.024446874856948853	0.07834157	No	
row_56	CALM1	Calm1	949	-0.024458788335323334	0.0829466	No	
row_57	SCAF11	Scaf11	969	-0.025298185646533966	0.07685252	No	
row_58	SLC5A3	Slc5a3	988	-0.026699069887399673	0.07159363	No	
row_59	RRBP1	Rrbp1	1026	-0.02978682518005371	0.05605894	No	
row_60	TSPAN6	Tspan6	1028	-0.030274007469415665	0.06118741	No	
row_61	NFIX	Nfix	1116	-0.03788767009973526	0.018606495	No	
row_62	NDRG2	Ndrg2	1129	-0.03872429579496384	0.019040244	No	
row_63	CLIC5	Clic5	1137	-0.039642371237277985	0.022503987	No	
row_64	IKZF2	Ikzf2	1191	-0.044596195220947266	6.147063E-4	No	
row_65	CDK6	Cdk6	1248	-0.05028317868709564	-0.021918133	No	
row_66	PCBP4	Pcbp4	1285	-0.05396158620715141	-0.032329842	No	
row_67	NTRK3	Ntrk3	1311	-0.057084351778030396	-0.03586789	No	
row_68	CD55	Cd55	1332	-0.05921660363674164	-0.03614734	No	
row_69	BACH2	Bach2	1339	-0.05974021181464195	-0.028328212	No	
row_70	LEF1	Lef1	1354	-0.061490967869758606	-0.024750883	No	
row_71	XKRX	Xkrx	1357	-0.06187363341450691	-0.014244365	No	
row_72	ZNF267	D3Ertd254e	1361	-0.06240469589829445	-0.004209288	No	
row_73	RAPGEF4	Rapgef4	1387	-0.06476636976003647	-0.006300991	No	
row_74	JDP2	Jdp2	1390	-0.06509712338447571	0.004812436	No	
row_75	CYLD	Cyld	1417	-0.06819989532232285	0.0027957582	No	
row_76	NANOS1	Nanos1	1433	-0.069027841091156	0.0072206776	No	
row_77	P2RY10	P2ry10	1441	-0.06978436559438705	0.016359461	No	
row_78	JADE1	Jade1	1449	-0.07199704647064209	0.025914842	No	
row_79	GPR21	Gpr21	1474	-0.07609934359788895	0.026528304	No	
row_80	XDH	Xdh	1481	-0.07698869705200195	0.037594926	No	
row_81	ETV3	Etv3	1497	-0.07885182648897171	0.043869477	No	
row_82	RNF213	Rnf213	1533	-0.08415919542312622	0.03971471	No	
row_83	PER2	Per2	1548	-0.08647184073925018	0.04799536	No	
row_84	MAT2A	Mat2a	1568	-0.08971535414457321	0.054029543	No	
row_85	TTC39B	Ttc39b	1648	-0.1024802029132843	0.02818134	No	
row_86	FAM13B	Fam13b	1658	-0.1061810553073883	0.043029927	No	
row_87	RORA	Rora	1733	-0.12926122546195984	0.025081113	No	
row_88	ISG15	Isg15	1807	-0.1824309229850769	0.017714359	No	
