NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
PEA3_Q6	PEA3_Q6	Details ...	42	0.4511538	1.7315081	0.0	0.6742022	0.6	293	tags=40%, list=16%, signal=47%	
SRF_01	SRF_01	Details ...	16	0.60680383	1.6811012	0.019607844	0.55691147	0.74	221	tags=44%, list=12%, signal=49%	
PU1_Q6	PU1_Q6	Details ...	34	0.45201468	1.6373868	0.01724138	0.5399156	0.81	290	tags=35%, list=16%, signal=41%	
EVI1_05	EVI1_05	Details ...	23	0.48250455	1.6023003	0.020408163	0.5277387	0.88	32	tags=13%, list=2%, signal=13%	
COUP_DR1_Q6	COUP_DR1_Q6	Details ...	23	0.43723428	1.5738692	0.044444446	0.51814544	0.91	192	tags=26%, list=10%, signal=29%	
MEIS1AHOXA9_01	MEIS1AHOXA9_01	Details ...	17	0.53375846	1.5587481	0.04255319	0.48650745	0.93	290	tags=41%, list=16%, signal=48%	
HNF3_Q6	HNF3_Q6	Details ...	28	0.44000465	1.5565195	0.04347826	0.4251567	0.93	445	tags=43%, list=24%, signal=56%	
SRF_C	SRF_C	Details ...	37	0.4180996	1.487499	0.01923077	0.60007405	0.96	221	tags=30%, list=12%, signal=33%	
SRF_Q6	SRF_Q6	Details ...	39	0.39229923	1.4576075	0.016666668	0.6501162	0.98	221	tags=26%, list=12%, signal=29%	
SRF_Q5_01	SRF_Q5_01	Details ...	35	0.40294644	1.4511005	0.06896552	0.60995376	0.98	312	tags=34%, list=17%, signal=41%	
TGCCAAR_NF1_Q6	TGCCAAR_NF1_Q6	Details ...	89	0.32884184	1.44939	0.024390243	0.5574684	0.98	278	tags=25%, list=15%, signal=28%	
CCAWWNAAGG_SRF_Q4	CCAWWNAAGG_SRF_Q4	Details ...	15	0.51247936	1.4239341	0.074074075	0.6121911	0.98	221	tags=27%, list=12%, signal=30%	
AAAYWAACM_HFH4_01	AAAYWAACM_HFH4_01	Details ...	45	0.38305375	1.4106079	0.08510638	0.62437356	1.0	208	tags=24%, list=11%, signal=27%	
SREBP1_Q6	SREBP1_Q6	Details ...	40	0.3596294	1.3905281	0.06	0.65193164	1.0	32	tags=13%, list=2%, signal=12%	
MYB_Q6	MYB_Q6	Details ...	31	0.41910833	1.379983	0.054545455	0.65354234	1.0	290	tags=39%, list=16%, signal=45%	
GATA_C	GATA_C	Details ...	23	0.39033914	1.3525164	0.06666667	0.7212687	1.0	281	tags=35%, list=15%, signal=41%	
PAX6_01	PAX6_01	Details ...	18	0.4363877	1.3471227	0.1	0.70056605	1.0	56	tags=11%, list=3%, signal=11%	
EGR_Q6	EGR_Q6	Details ...	39	0.33914736	1.3308605	0.104166664	0.72144413	1.0	245	tags=28%, list=13%, signal=32%	
RGAGGAARY_PU1_Q6	RGAGGAARY_PU1_Q6	Details ...	87	0.32356966	1.3164029	0.06122449	0.74183255	1.0	156	tags=22%, list=8%, signal=23%	
E12_Q6	E12_Q6	Details ...	28	0.3930221	1.315266	0.115384616	0.70984685	1.0	172	tags=25%, list=9%, signal=27%	
GTGGGTGK_UNKNOWN	GTGGGTGK_UNKNOWN		45	0.33440065	1.3025807	0.0882353	0.72215503	1.0	221	tags=22%, list=12%, signal=25%	
ARGGGTTAA_UNKNOWN	ARGGGTTAA_UNKNOWN		23	0.37704873	1.3010721	0.104166664	0.6975582	1.0	135	tags=22%, list=7%, signal=23%	
LMO2COM_02	LMO2COM_02		27	0.3634351	1.2945026	0.15	0.69247144	1.0	264	tags=33%, list=14%, signal=38%	
YGCGYRCGC_UNKNOWN	YGCGYRCGC_UNKNOWN		47	0.32460263	1.288608	0.15686275	0.6882278	1.0	220	tags=21%, list=12%, signal=24%	
TEF1_Q6	TEF1_Q6		42	0.34019297	1.2869891	0.0625	0.66425335	1.0	154	tags=19%, list=8%, signal=20%	
MYOD_Q6	MYOD_Q6		28	0.3644631	1.2702181	0.1521739	0.69888437	1.0	241	tags=21%, list=13%, signal=24%	
NERF_Q2	NERF_Q2		38	0.36000416	1.2567755	0.12727273	0.7225705	1.0	156	tags=21%, list=8%, signal=23%	
ELF1_Q6	ELF1_Q6		57	0.31821805	1.2497035	0.08695652	0.7231922	1.0	294	tags=32%, list=16%, signal=36%	
WWTAAGGC_UNKNOWN	WWTAAGGC_UNKNOWN		17	0.4118722	1.2361809	0.16	0.7440565	1.0	125	tags=18%, list=7%, signal=19%	
CP2_01	CP2_01		25	0.38520217	1.233199	0.13953489	0.73014843	1.0	160	tags=20%, list=9%, signal=22%	
NCX_01	NCX_01		21	0.3739505	1.2207015	0.15789473	0.7447322	1.0	181	tags=19%, list=10%, signal=21%	
MGGAAGTG_GABP_B	MGGAAGTG_GABP_B		82	0.2834767	1.2125894	0.10204082	0.7496569	1.0	173	tags=18%, list=9%, signal=19%	
ATF_01	ATF_01		39	0.34292594	1.1998293	0.1590909	0.7711746	1.0	190	tags=21%, list=10%, signal=22%	
CDC5_01	CDC5_01		35	0.34627256	1.1918794	0.1724138	0.7767829	1.0	135	tags=14%, list=7%, signal=15%	
HNF4_01_B	HNF4_01_B		24	0.37279996	1.1814847	0.24444444	0.7955827	1.0	192	tags=17%, list=10%, signal=18%	
CAGCTG_AP4_Q5	CAGCTG_AP4_Q5		196	0.24403955	1.177824	0.14285715	0.78978777	1.0	230	tags=17%, list=13%, signal=18%	
SRF_Q4	SRF_Q4		36	0.34622052	1.1630725	0.14583333	0.8238356	1.0	312	tags=31%, list=17%, signal=36%	
CTGCAGY_UNKNOWN	CTGCAGY_UNKNOWN		109	0.26222298	1.1597418	0.11111111	0.8154528	1.0	326	tags=29%, list=18%, signal=34%	
GATAAGR_GATA_C	GATAAGR_GATA_C		34	0.3396616	1.1592971	0.26086956	0.79584706	1.0	206	tags=26%, list=11%, signal=29%	
FOXO1_01	FOXO1_01		43	0.29151285	1.1498922	0.25	0.81518847	1.0	258	tags=21%, list=14%, signal=24%	
AML1_01	AML1_01		51	0.29881287	1.1490651	0.23684211	0.7986172	1.0	104	tags=12%, list=6%, signal=12%	
AML1_Q6	AML1_Q6		51	0.29881287	1.1490651	0.23684211	0.77960247	1.0	104	tags=12%, list=6%, signal=12%	
GCM_Q2	GCM_Q2		31	0.32033217	1.147383	0.27450982	0.7690286	1.0	135	tags=13%, list=7%, signal=14%	
YTATTTTNR_MEF2_02	YTATTTTNR_MEF2_02		94	0.27270916	1.1462303	0.25531915	0.755503	1.0	69	tags=9%, list=4%, signal=8%	
WTGAAAT_UNKNOWN	WTGAAAT_UNKNOWN		93	0.2582734	1.1385878	0.2244898	0.76718175	1.0	202	tags=19%, list=11%, signal=21%	
OLF1_01	OLF1_01		35	0.3165922	1.1294466	0.25	0.7818371	1.0	333	tags=31%, list=18%, signal=38%	
ATF_B	ATF_B		27	0.30910292	1.1256139	0.3148148	0.7794653	1.0	190	tags=22%, list=10%, signal=24%	
MYCMAX_B	MYCMAX_B		40	0.28983697	1.123819	0.26	0.7677964	1.0	56	tags=13%, list=3%, signal=13%	
NKX3A_01	NKX3A_01		25	0.33038786	1.1116576	0.23529412	0.79820645	1.0	330	tags=28%, list=18%, signal=34%	
YNGTTNNNATT_UNKNOWN	YNGTTNNNATT_UNKNOWN		63	0.2633227	1.1019533	0.28301886	0.8169043	1.0	183	tags=14%, list=10%, signal=15%	
CHX10_01	CHX10_01		16	0.38165024	1.0980262	0.3409091	0.8139812	1.0	135	tags=19%, list=7%, signal=20%	
SRY_01	SRY_01		33	0.30114016	1.0955544	0.25490198	0.80851513	1.0	139	tags=15%, list=8%, signal=16%	
HSF_Q6	HSF_Q6		28	0.28456843	1.0690017	0.38297874	0.8850672	1.0	73	tags=11%, list=4%, signal=11%	
PXR_Q2	PXR_Q2		36	0.291253	1.0652013	0.31914893	0.8842939	1.0	344	tags=31%, list=19%, signal=37%	
TAAYNRNNTCC_UNKNOWN	TAAYNRNNTCC_UNKNOWN		22	0.32059124	1.0577586	0.3488372	0.8941481	1.0	50	tags=9%, list=3%, signal=9%	
FAC1_01	FAC1_01		35	0.28895774	1.0517781	0.3877551	0.9002658	1.0	26	tags=9%, list=1%, signal=9%	
EGR1_01	EGR1_01		37	0.29939908	1.0488492	0.36956522	0.89495456	1.0	245	tags=27%, list=13%, signal=31%	
FOXO4_01	FOXO4_01		44	0.28634855	1.0466892	0.31914893	0.88603014	1.0	25	tags=7%, list=1%, signal=7%	
HNF3ALPHA_Q6	HNF3ALPHA_Q6		35	0.28798965	1.0385973	0.47619048	0.90338	1.0	360	tags=29%, list=20%, signal=35%	
MSX1_01	MSX1_01		19	0.31668365	1.0383234	0.2888889	0.889137	1.0	29	tags=11%, list=2%, signal=11%	
AR_Q6	AR_Q6		22	0.30728814	1.0241964	0.38181818	0.9226424	1.0	140	tags=14%, list=8%, signal=15%	
NMYC_01	NMYC_01		38	0.2700496	1.0214612	0.49056605	0.91696143	1.0	211	tags=18%, list=11%, signal=20%	
CEBPGAMMA_Q6	CEBPGAMMA_Q6		40	0.27498478	1.0213223	0.47916666	0.90294826	1.0	315	tags=25%, list=17%, signal=30%	
LMO2COM_01	LMO2COM_01		32	0.28190827	1.0193765	0.42857143	0.8955193	1.0	71	tags=9%, list=4%, signal=10%	
FOXO4_02	FOXO4_02		52	0.25516388	1.012299	0.37209302	0.9031057	1.0	246	tags=19%, list=13%, signal=22%	
PPAR_DR1_Q2	PPAR_DR1_Q2		29	0.28649473	1.0079685	0.45	0.9044077	1.0	160	tags=14%, list=9%, signal=15%	
CCCNNGGGAR_OLF1_01	CCCNNGGGAR_OLF1_01		50	0.24190247	1.0001088	0.425	0.91774786	1.0	106	tags=10%, list=6%, signal=10%	
E47_01	E47_01		43	0.25692585	0.99670315	0.36734694	0.91389793	1.0	156	tags=16%, list=8%, signal=17%	
MEIS1BHOXA9_01	MEIS1BHOXA9_01		16	0.31849703	0.9946211	0.46296296	0.9070884	1.0	63	tags=13%, list=3%, signal=13%	
HEN1_02	HEN1_02		21	0.33028004	0.98678297	0.44444445	0.920939	1.0	244	tags=24%, list=13%, signal=27%	
TITF1_Q3	TITF1_Q3		31	0.28031865	0.9860126	0.53846157	0.91026825	1.0	160	tags=16%, list=9%, signal=17%	
RACTNNRTTTNC_UNKNOWN	RACTNNRTTTNC_UNKNOWN		16	0.33577737	0.97715473	0.54285717	0.92575645	1.0	3	tags=6%, list=0%, signal=6%	
RYTTCCTG_ETS2_B	RYTTCCTG_ETS2_B		168	0.21017824	0.96884537	0.4375	0.9385867	1.0	221	tags=16%, list=12%, signal=17%	
GABP_B	GABP_B		22	0.28629267	0.964884	0.5	0.94023573	1.0	84	tags=14%, list=5%, signal=14%	
CEBP_Q2	CEBP_Q2		31	0.28876188	0.9612757	0.4716981	0.93905395	1.0	50	tags=10%, list=3%, signal=10%	
ETS1_B	ETS1_B		47	0.24619217	0.96011245	0.4814815	0.931185	1.0	183	tags=19%, list=10%, signal=21%	
PIT1_Q6	PIT1_Q6		30	0.26681492	0.94863784	0.5952381	0.95403993	1.0	71	tags=10%, list=4%, signal=10%	
CRX_Q4	CRX_Q4		32	0.2667964	0.94556934	0.42105263	0.9506132	1.0	202	tags=19%, list=11%, signal=21%	
SMAD3_Q6	SMAD3_Q6		27	0.26564783	0.9415789	0.53333336	0.95134246	1.0	353	tags=33%, list=19%, signal=41%	
CREBP1_Q2	CREBP1_Q2		44	0.25633058	0.9381753	0.5625	0.9509583	1.0	221	tags=18%, list=12%, signal=20%	
