TRACK_ID	Group	Cluster	Genotype	Treatment
cellnames_WT_Naive_in_cluster0.cellnameSubset.bam	WT_Naive	0	WT	Naive
cellnames_WT_IL4C_in_cluster0.cellnameSubset.bam	WT_IL4C	0	WT	IL4C
cellnames_WT_Hp_in_cluster0.cellnameSubset.bam	WT_Hp	0	WT	Hp
cellnames_KO_Naive_in_cluster0.cellnameSubset.bam	KO_Naive	0	KO	Naive
cellnames_KO_IL4C_in_cluster0.cellnameSubset.bam	KO_IL4C	0	KO	IL4C
cellnames_KO_Hp_in_cluster0.cellnameSubset.bam	KO_Hp	0	KO	Hp
cellnames_WT_Naive_in_cluster1.cellnameSubset.bam	WT_Naive	1	WT	Naive
cellnames_WT_IL4C_in_cluster1.cellnameSubset.bam	WT_IL4C	1	WT	IL4C
cellnames_WT_Hp_in_cluster1.cellnameSubset.bam	WT_Hp	1	WT	Hp
cellnames_KO_Naive_in_cluster1.cellnameSubset.bam	KO_Naive	1	KO	Naive
cellnames_KO_IL4C_in_cluster1.cellnameSubset.bam	KO_IL4C	1	KO	IL4C
cellnames_KO_Hp_in_cluster1.cellnameSubset.bam	KO_Hp	1	KO	Hp
cellnames_WT_Naive_in_cluster2.cellnameSubset.bam	WT_Naive	2	WT	Naive
cellnames_WT_IL4C_in_cluster2.cellnameSubset.bam	WT_IL4C	2	WT	IL4C
cellnames_WT_Hp_in_cluster2.cellnameSubset.bam	WT_Hp	2	WT	Hp
cellnames_KO_Naive_in_cluster2.cellnameSubset.bam	KO_Naive	2	KO	Naive
cellnames_KO_IL4C_in_cluster2.cellnameSubset.bam	KO_IL4C	2	KO	IL4C
cellnames_KO_Hp_in_cluster2.cellnameSubset.bam	KO_Hp	2	KO	Hp
cellnames_WT_Naive_in_cluster3.cellnameSubset.bam	WT_Naive	3	WT	Naive
cellnames_WT_IL4C_in_cluster3.cellnameSubset.bam	WT_IL4C	3	WT	IL4C
cellnames_WT_Hp_in_cluster3.cellnameSubset.bam	WT_Hp	3	WT	Hp
cellnames_KO_Naive_in_cluster3.cellnameSubset.bam	KO_Naive	3	KO	Naive
cellnames_KO_IL4C_in_cluster3.cellnameSubset.bam	KO_IL4C	3	KO	IL4C
cellnames_KO_Hp_in_cluster3.cellnameSubset.bam	KO_Hp	3	KO	Hp
