NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SNX5	Snx5	37	0.184285506606102	0.0244569	No	
row_1	GLA	Gla	173	0.07207214087247849	-0.033767737	No	
row_2	RSRP1	Rsrp1	201	0.0623173750936985	-0.03364607	No	
row_3	TIA1	Tia1	215	0.05851932615041733	-0.026583316	No	
row_4	CPSF2	Cpsf2	308	0.03845132142305374	-0.0688819	No	
row_5	RPL23	Rpl23	314	0.03751913085579872	-0.062478065	No	
row_6	NEMF	Nemf	346	0.033064380288124084	-0.07179165	No	
row_7	TMEM260	Tmem260	356	0.03231840580701828	-0.06891502	No	
row_8	NPTN	Nptn	396	0.026366475969552994	-0.08437327	No	
row_9	DAAM1	Daam1	440	0.020905064418911934	-0.10342275	No	
row_10	PRPF40A	Prpf40a	443	0.0206979401409626	-0.09946349	No	
row_11	BASP1	Basp1	501	0.013914036564528942	-0.12810422	No	
row_12	HAUS8	Haus8	506	0.01312832161784172	-0.12712918	No	
row_13	SMC3	Smc3	560	0.006745651364326477	-0.15528099	No	
row_14	ZZZ3	Zzz3	625	0.001998030813410878	-0.1907857	No	
row_15	SNX21	Snx21	638	9.830998023971915E-4	-0.19729339	No	
row_16	CWF19L2	Cwf19l2	655	-0.0014230258530005813	-0.20594272	No	
row_17	PKN2	Pkn2	718	-0.006244095973670483	-0.2392796	No	
row_18	FAM133B	Fam133b	721	-0.006631814409047365	-0.23877546	No	
row_19	PAXBP1	Paxbp1	791	-0.012473096139729023	-0.2745193	No	
row_20	GABARAPL1	Gabarapl1	809	-0.014003625139594078	-0.28064084	No	
row_21	PNN	Pnn	816	-0.014489538967609406	-0.28045627	No	
row_22	EIF4A2	Eif4a2	872	-0.019063252955675125	-0.30670732	No	
row_23	RPS16	Rps16	882	-0.019551759585738182	-0.30696663	No	
row_24	ANKRD12	Ankrd12	948	-0.024446874856948853	-0.33751956	No	
row_25	FKTN	Fktn	979	-0.026148535311222076	-0.34796947	No	
row_26	ZNF45	Zfp94	1006	-0.027959253638982773	-0.3557249	No	
row_27	NPM1	Npm1	1025	-0.029575416818261147	-0.35858393	No	
row_28	FOS	Fos	1047	-0.0315246619284153	-0.3626514	No	
row_29	RNASEK	Rnasek	1055	-0.031892333179712296	-0.35875458	No	
row_30	RALBP1	Ralbp1	1088	-0.034919269382953644	-0.36817497	No	
row_31	CEP162	Cep162	1096	-0.03595767170190811	-0.36327955	No	
row_32	ZNF839	Zfp839	1163	-0.04211507737636566	-0.390055	No	
row_33	LUC7L2	Luc7l2	1172	-0.04311182349920273	-0.38396472	No	
row_34	CDKN1B	Cdkn1b	1173	-0.04317750409245491	-0.37335885	No	
row_35	PBRM1	Pbrm1	1214	-0.04719124734401703	-0.38426426	No	
row_36	ZDHHC2	Zdhhc2	1247	-0.050230514258146286	-0.3899237	No	
row_37	RPS5	Rps5	1264	-0.051279984414577484	-0.38632643	No	
row_38	WBP4	Wbp4	1333	-0.05924759805202484	-0.41001844	No	
row_39	DDX5	Ddx5	1345	-0.0601230189204216	-0.4014369	No	
row_40	KLHL12	Klhl12	1371	-0.06337368488311768	-0.3999309	No	
row_41	GNL3	Gnl3	1415	-0.06817121803760529	-0.4073702	No	
row_42	RBM25	Rbm25	1475	-0.07660927623510361	-0.4217357	No	
row_43	VIM	Vim	1524	-0.08254124224185944	-0.4284574	No	
row_44	RFC3	Rfc3	1565	-0.08910662680864334	-0.42906696	Yes	
row_45	CCDC82	Ccdc82	1599	-0.0944095030426979	-0.42443696	Yes	
row_46	MBTD1	Mbtd1	1609	-0.09544690698385239	-0.4060538	Yes	
row_47	PSIP1	Psip1	1613	-0.09614083915948868	-0.38412562	Yes	
row_48	ATAD2	Atad2	1651	-0.1029433012008667	-0.37964916	Yes	
row_49	FUS	Fus	1699	-0.11723325401544571	-0.37728685	Yes	
row_50	ILF2	Ilf2	1714	-0.12224124372005463	-0.35513428	Yes	
row_51	GADD45B	Gadd45b	1718	-0.12309332191944122	-0.32658565	Yes	
row_52	CEP290	Cep290	1740	-0.1318913698196411	-0.30599967	Yes	
row_53	EEF1G	Eef1g	1749	-0.13656042516231537	-0.2769552	Yes	
row_54	SLFN5	Slfn5	1778	-0.15314120054244995	-0.25508654	Yes	
row_55	ZNF292	Zfp292	1782	-0.15589338541030884	-0.2184811	Yes	
row_56	STMN1	Stmn1	1797	-0.1671341210603714	-0.18530127	Yes	
row_57	NCOA7	Ncoa7	1818	-0.19300995767116547	-0.14914005	Yes	
row_58	RPS29	Rps29	1822	-0.19985924661159515	-0.1017351	Yes	
row_59	BIRC5	Birc5	1830	-0.2152295857667923	-0.052804384	Yes	
row_60	RPS3A	Rps3a1	1832	-0.23099972307682037	0.0033745891	Yes	
